"public","state_politics","region","pal","arrests","2024","2025","pct_change"
"Private",NA,NA,NA,NA,637,162,-74.5682888540031
"Public",NA,NA,NA,NA,842,171,-79.6912114014252
NA,"Democratic-State",NA,NA,NA,880,200,-77.2727272727273
NA,"Republican-State",NA,NA,NA,599,133,-77.79632721202
NA,NA,"midwest",NA,NA,338,69,-79.585798816568
NA,NA,"northeast",NA,NA,602,146,-75.7475083056478
NA,NA,"south",NA,NA,265,84,-68.3018867924528
NA,NA,"west",NA,NA,274,34,-87.5912408759124
NA,NA,NA,"Non-Gaza Related",NA,281,241,-14.2348754448399
NA,NA,NA,"Gaza Related",NA,1198,92,-92.3205342237062
NA,NA,NA,NA,"No Arrests",834,216,-74.1007194244604
NA,NA,NA,NA,"Arrests",645,117,-81.8604651162791
